['深圳', '深圳市前海房极客网络科技有限公司', '150-500人', '本科', '高级Python工程师', '全职', '10k-20k', '3-5年']
['深圳', '深圳市前海房极客网络科技有限公司', '150-500人', '本科', '高级Python爬虫工程师', '全职', '10k-20k', '3-5年']
['上海', '上海九鞅科技有限公司', '15-50人', '本科', 'python后端开发工程师', '全职', '8k-16k', '1-3年']
['深圳', '深圳市比一比网络科技有限公司', '50-150人', '本科', 'Python工程师', '全职', '15k-20k', '3-5年']
['上海', '上海合阔信息技术有限公司', '15-50人', '本科', 'Python 开发架构师', '全职', '30k-45k', '5-10年']
['成都', '成都思而科软件有限公司', '50-150人', '本科', 'python开发工程师', '全职', '8k-15k', '3-5年']
['北京', '北京视野金融信息服务有限公司', '50-150人', '本科', 'Python开发工程师---0201', '全职', '15k-25k', '3-5年']
['重庆', '重庆食联购电子商务有限公司', '15-50人', '本科', 'python工程师', '全职', '7k-10k', '3-5年']
['杭州', '浙江天垂科技有限公司', '15-50人', '本科', 'python后端工程师', '全职', '15k-30k', '不限']
['北京', '北京汉迪移动互联网科技股份有限公司', '150-500人', '本科', 'python开发', '全职', '20k-35k', '3-5年']
['深圳', '上海微创软件股份有限公司', '2000人以上', '本科', '众包项目助理（python开发、外派腾讯）', '全职', '9k-12k', '1-3年']
['深圳', '深圳市前海房极客网络科技有限公司', '150-500人', '本科', '高级Python工程师', '全职', '10k-20k', '3-5年']
['深圳', '深圳市前海房极客网络科技有限公司', '150-500人', '本科', '高级Python爬虫工程师', '全职', '10k-20k', '3-5年']
['杭州', '杭州飞享数据技术有限公司', '15-50人', '本科', 'python开发工程师', '全职', '13k-26k', '3-5年']
['上海', '上海锐成信息科技有限公司', '15-50人', '本科', 'Python开发', '全职', '8k-12k', '不限']
['深圳', '微诺（深圳）科技有限公司', '50-150人', '本科', 'python开发', '全职', '15k-30k', '3-5年']
['上海', '上海加美文化传媒有限公司', '15-50人', '本科', 'Python后端', '全职', '15k-25k', '1-3年']
['上海', '上海加美文化传媒有限公司', '15-50人', '硕士', 'python高级开发工程师', '全职', '25k-50k', '3-5年']
['广州', '威讯柏睿数据科技（北京）有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '13k-25k', '3-5年']
['上海', '上海雪湖科技有限公司', '50-150人', '本科', 'Python高级开发工程师', '全职', '15k-30k', '1-3年']
['深圳', '腾讯科技（深圳）有限公司', '2000人以上', '本科', '监控系统开发工程师-Python&amp;Go', '全职', '16k-30k', '3-5年']
['上海', '上海加美文化传媒有限公司', '15-50人', '硕士', 'python高级开发工程师', '全职', '25k-50k', '3-5年']
['西安', '武汉佰钧成技术有限责任公司', '2000人以上', '本科', 'python开发工程师', '全职', '7k-14k', '1-3年']
['广州', '威讯柏睿数据科技（北京）有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '13k-25k', '3-5年']
['上海', '上海雪湖科技有限公司', '50-150人', '本科', 'Python高级开发工程师', '全职', '15k-30k', '1-3年']
['宝鸡', '北京悠麦科技有限公司', '15-50人', '不限', 'Python工程师', '全职', '4k-8k', '1-3年']
['广州', '广州美亚电子商务国际旅行社有限公司', '500-2000人', '大专', 'Python开发工程师', '全职', '6k-12k', '1-3年']
['深圳', '深圳前海小鸟云计算有限公司', '50-150人', '大专', '系统工程师（会Python）', '全职', '15k-20k', '3-5年']
['上海', '上海中软华腾软件系统有限公司', '2000人以上', '本科', 'python', '全职', '10k-17k', '3-5年']
['深圳', '风变科技（深圳）有限公司', '500-2000人', '本科', 'Python讲师', '全职', '7k-13k', '不限']
['上海', '上海量锐信息科技有限公司', '50-150人', '本科', 'python', '全职', '17k-25k', '3-5年']
['深圳', '深圳众禄基金销售股份有限公司', '150-500人', '本科', 'Python开发工程师', '全职', '15k-25k', '3-5年']
['北京', '深圳市金证优智科技有限公司', '50-150人', '本科', 'python开发', '全职', '15k-25k', '3-5年']
['福州', '福州蓝鲨信息技术有限公司', '15-50人', '大专', 'python开发', '实习', '2k-3k', '应届毕业生']
['北京', '北京新光数字电影院线有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '10k-15k', '3-5年']
['西安', '陕西尚品信息科技有限公司', '15-50人', '本科', 'Python开发工程师', '全职', '8k-15k', '3-5年']
['北京', '北京万里开源软件有限公司', '150-500人', '本科', '云平台开发工程师（Python后端开发）', '全职', '13k-25k', '3-5年']
